,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
140,San Cristobal,VE,7.7669,-72.225,73.58,97,100,1.95,overcast clouds
141,Turukhansk,RU,65.8167,87.9833,72.37,59,11,14.23,few clouds
142,Songadh,IN,21.1667,73.5667,78.87,82,66,10.16,broken clouds
143,Elko,US,41.0002,-115.5012,69.82,18,43,10.0,scattered clouds
144,Port Alfred,ZA,-33.5906,26.891,62.19,90,30,4.0,scattered clouds
145,Clyde River,CA,70.4692,-68.5914,35.83,87,0,9.22,clear sky
146,Kuching,MY,1.55,110.3333,75.42,100,40,1.99,scattered clouds
147,Tecoanapa,MX,16.5167,-98.75,80.47,83,83,4.99,broken clouds
148,Hay River,CA,60.8156,-115.7999,66.18,45,75,12.66,broken clouds
149,Sfantu Gheorghe,RO,45.8667,25.7833,67.26,83,5,2.08,clear sky
150,Bestobe,KZ,52.4994,73.0975,66.67,76,89,5.3,overcast clouds
151,Namatanai,PG,-3.6667,152.4333,84.78,64,71,6.51,broken clouds
152,Januaria,BR,-15.4833,-44.3667,68.13,40,0,2.93,clear sky
153,Sayyan,YE,15.1718,44.3244,67.24,43,99,4.83,overcast clouds
154,Te Anau,NZ,-45.4167,167.7167,38.43,85,61,0.54,broken clouds
155,Atkarsk,RU,51.8718,45.0078,63.21,94,88,4.03,overcast clouds
156,Mar Del Plata,AR,-38.0023,-57.5575,53.1,77,0,4.61,clear sky
157,Virginia Beach,US,36.8529,-75.978,78.87,55,40,5.75,scattered clouds
158,Arenapolis,BR,-14.4503,-56.8461,71.76,59,16,0.81,few clouds
159,Puerto Narino,CO,-3.7703,-70.3831,72.97,95,71,3.24,broken clouds
160,Cherskiy,RU,68.75,161.3,36.73,92,100,15.73,overcast clouds
161,Ponta Do Sol,PT,32.6667,-17.1,66.83,62,55,6.49,broken clouds
162,Yerbogachen,RU,61.2767,108.0108,57.2,52,2,8.03,clear sky
163,Basco,PH,20.4487,121.9702,85.8,73,74,13.49,broken clouds
164,Sokolow Podlaski,PL,52.4068,22.2531,55.87,96,79,15.14,broken clouds
165,Spencer,US,43.1414,-95.1444,96.91,36,0,21.85,clear sky
166,Mehamn,NO,71.0357,27.8492,48.15,76,0,11.5,clear sky
167,Alofi,NU,-19.0595,-169.9187,82.29,83,75,10.36,broken clouds
168,Kamra,PK,33.7473,73.5111,64.96,74,100,6.82,overcast clouds
169,Kahului,US,20.8947,-156.47,89.62,55,40,20.71,scattered clouds
170,Nhamunda,BR,-2.1861,-56.7131,74.98,89,59,0.47,broken clouds
171,Thompson,CA,55.7435,-97.8558,60.96,82,100,9.22,overcast clouds
172,Touros,BR,-5.1989,-35.4608,75.96,87,15,12.88,few clouds
173,Leshukonskoye,RU,64.8989,45.7622,44.49,95,100,6.02,overcast clouds
174,Yingcheng,CN,30.95,113.55,81.66,79,57,6.96,broken clouds
175,Williston,US,48.147,-103.618,75.81,61,83,1.99,broken clouds
176,Churapcha,RU,62.0025,132.4325,72.52,56,100,6.69,overcast clouds
177,Utinga,BR,-5.8172,-35.3954,79.2,100,75,4.61,broken clouds
178,Longkou,CN,37.6508,120.3286,78.46,69,91,11.65,overcast clouds
179,Iqaluit,CA,63.7506,-68.5145,55.13,37,20,16.11,few clouds
180,Lasa,IT,46.6166,10.7002,65.28,86,10,4.59,clear sky
181,Toumodi,CI,6.5613,-5.0158,70.83,99,100,2.98,light rain
182,Ribeira Grande,PT,38.5167,-28.7,65.34,86,70,21.09,broken clouds
183,Pisco,PE,-13.7,-76.2167,64.45,72,0,12.66,clear sky
184,Lakes Entrance,AU,-37.8811,147.981,51.96,90,100,2.84,light rain
185,Nikolskoye,RU,59.7035,30.7861,54.88,86,97,3.53,overcast clouds
186,Amursk,RU,50.2261,136.8994,65.08,77,93,3.49,overcast clouds
187,Codrington,AU,-38.2667,141.9667,49.71,85,70,9.66,broken clouds
188,Honiara,SB,-9.4333,159.95,85.39,67,60,1.59,broken clouds
189,Lethem,GY,3.3803,-59.7968,75.38,90,87,2.21,overcast clouds
190,Troitsko-Pechorsk,RU,62.7084,56.1964,53.8,92,97,5.08,overcast clouds
191,Nome,US,64.5011,-165.4064,61.16,70,0,8.05,clear sky
192,Elizabeth City,US,36.2946,-76.2511,75.22,50,0,10.36,clear sky
193,Necochea,AR,-38.5473,-58.7368,48.18,65,100,7.78,light rain
194,Puerto Colombia,CO,10.9878,-74.9547,84.29,81,59,15.84,broken clouds
195,Port Elizabeth,ZA,-33.918,25.5701,61.32,96,75,11.5,broken clouds
196,Klaksvik,FO,62.2266,-6.589,47.32,84,100,14.45,overcast clouds
197,Caravelas,BR,-17.7125,-39.2481,70.02,88,29,4.9,scattered clouds
198,College,US,64.8569,-147.8028,73.0,57,75,10.36,broken clouds
199,Rudnya,RU,54.947,31.0934,56.07,92,100,4.83,overcast clouds
200,Sao Filipe,CV,14.8961,-24.4956,73.72,92,80,7.11,light rain
201,Derzhavinsk,KZ,51.1,66.3167,63.05,69,32,11.43,scattered clouds
