City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
209,Labuhan,ID,78.21,overcast clouds,-6.8844,112.2051,DoubleFAG
211,Singaparna,ID,71.4,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
212,Waingapu,ID,78.4,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
214,Hojai,IN,75.18,broken clouds,26.0,92.8667,Luxury park hotel
215,Krasnoselkup,RU,70.34,overcast clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
217,Kishi,NG,72.54,moderate rain,9.0833,3.85,New NCCF KISI
218,Broome,US,71.98,clear sky,42.2506,-75.833,Chenango Valley State Park
220,Sungaipenuh,ID,64.22,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
221,Chitral,PK,62.69,overcast clouds,35.8462,71.7858,PTDC Motel Chitral
225,Saryozek,KZ,60.58,scattered clouds,44.3583,77.9753,Gostinitsa
226,Aleksandrov Gay,RU,69.84,scattered clouds,50.147,48.5704,Gostinitsa
227,Smiths Falls,CA,74.89,few clouds,44.9001,-76.0161,Best Western Smiths Falls Hotel
229,Simiti,CO,77.0,overcast clouds,7.9579,-73.9436,Cancha la original
230,Noumea,NC,73.38,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
232,Bafia,CM,65.77,broken clouds,4.75,11.2333,Hotel born beyem
235,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
243,Ust-Ishim,RU,60.42,overcast clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
245,Arzgir,RU,71.44,few clouds,45.3728,44.2206,"Velichko T.p., Gostinitsa"
247,Mankono,CI,71.11,light rain,8.0586,-6.1897,Hôtel cotonputeur
254,Quetame,CO,60.85,overcast clouds,4.3323,-73.8614,Hotel Orquídea Quetame
255,Aktau,KZ,63.18,scattered clouds,43.65,51.2,Silk Way Hotel
256,Ambilobe,MG,63.86,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
257,Harqalah,TN,75.06,clear sky,36.0303,10.509,Dar Khadija
259,Bundi,IN,79.65,broken clouds,25.4417,75.6417,Hotel Bundi Inn-A Heritage Haveli
260,Aron,IN,76.82,broken clouds,24.3833,77.4167,Shri Ram marriage garden aron
263,Richards Bay,ZA,64.2,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
265,Zarautz,ES,64.35,overcast clouds,43.2844,-2.1699,Hotel Zarauz
266,Bonthe,SL,76.93,light rain,7.5264,-12.505,Bonthe Holiday Village
267,Ponta Delgada,PT,66.51,light rain,37.7333,-25.6667,Vila Nova Hotel
268,Mayya,RU,67.32,overcast clouds,61.7333,130.2811,Vila Nova Hotel
270,Ocumare Del Tuy,VE,72.18,scattered clouds,10.1165,-66.7761,HOSTAL EDDYS
271,Nouadhibou,MR,73.38,mist,20.931,-17.0347,El Medina
274,Xichang,CN,70.07,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
275,Vao,NC,70.81,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
276,Kutum,SD,77.65,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
277,Taman,RU,75.36,broken clouds,45.2117,36.7161,Staryy Gorod G. Taman'
278,Kalmunai,LK,78.78,overcast clouds,7.4167,81.8167,VS Villa
280,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
281,Ruteng,ID,65.01,scattered clouds,-8.6136,120.4721,Hotel FX 72
282,Dudinka,RU,65.62,overcast clouds,69.4058,86.1778,Hotel Viktoria
283,Georgetown,MY,76.93,few clouds,5.4112,100.3354,Cititel Penang
286,Ust-Uda,RU,61.95,clear sky,54.1742,103.0304,Gostinitsa Ust'-Uda Shans
